timestamp,hourly_channels,hourly_viewership,channels_change,viewership_change,game_name
2024-04-20 10:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 11:00:00+00:00,0,0,0.0,0.0,Art
2024-04-20 12:00:00+00:00,6,502,6.0,502.0,Art
2024-04-20 13:00:00+00:00,5,207,-1.0,-295.0,Art
2024-04-20 14:00:00+00:00,5,326,0.0,119.0,Art
2024-04-20 15:00:00+00:00,9,398,4.0,72.0,Art
2024-04-20 16:00:00+00:00,18,1559,9.0,1161.0,Art
2024-04-20 17:00:00+00:00,19,886,1.0,-673.0,Art
2024-04-20 18:00:00+00:00,22,1316,3.0,430.0,Art
2024-04-20 19:00:00+00:00,9,575,-13.0,-741.0,Art
2024-04-20 00:00:00+00:00,1,8,,,Baldur's Gate 3
2024-04-20 01:00:00+00:00,0,0,-1.0,-8.0,Baldur's Gate 3
2024-04-20 02:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 03:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 04:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 06:00:00+00:00,1,6,1.0,6.0,Baldur's Gate 3
2024-04-20 07:00:00+00:00,0,0,-1.0,-6.0,Baldur's Gate 3
2024-04-20 08:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 09:00:00+00:00,1,10,1.0,10.0,Baldur's Gate 3
2024-04-20 10:00:00+00:00,2,25,1.0,15.0,Baldur's Gate 3
2024-04-20 11:00:00+00:00,0,0,-2.0,-25.0,Baldur's Gate 3
2024-04-20 12:00:00+00:00,0,0,0.0,0.0,Baldur's Gate 3
2024-04-20 13:00:00+00:00,4,38,4.0,38.0,Baldur's Gate 3
2024-04-20 14:00:00+00:00,8,896,4.0,858.0,Baldur's Gate 3
2024-04-20 15:00:00+00:00,5,242,-3.0,-654.0,Baldur's Gate 3
2024-04-20 16:00:00+00:00,18,376,13.0,134.0,Baldur's Gate 3
2024-04-20 17:00:00+00:00,27,368,9.0,-8.0,Baldur's Gate 3
2024-04-20 18:00:00+00:00,20,2041,-7.0,1673.0,Baldur's Gate 3
2024-04-20 19:00:00+00:00,12,102,-8.0,-1939.0,Baldur's Gate 3
2024-04-18 20:00:00+00:00,1,191,,,Black Desert
2024-04-18 21:00:00+00:00,1,36,0.0,-155.0,Black Desert
2024-04-18 22:00:00+00:00,1,162,0.0,126.0,Black Desert
2024-04-18 23:00:00+00:00,0,0,-1.0,-162.0,Black Desert
2024-04-19 00:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 01:00:00+00:00,0,0,0.0,0.0,Black Desert
2024-04-19 02:00:00+00:00,0,0,0.0,0.0,Black Desert
