game_name,timestamp,hourly_channels,hourly_viewership,views_per_channel
Black Desert,2024-04-19 21:00:00+00:00,0,0,
Black Desert,2024-04-19 22:00:00+00:00,0,0,
Black Desert,2024-04-19 23:00:00+00:00,0,0,
Black Desert,2024-04-20 00:00:00+00:00,0,0,
Black Desert,2024-04-20 01:00:00+00:00,0,0,
Black Desert,2024-04-20 02:00:00+00:00,0,0,
Black Desert,2024-04-20 03:00:00+00:00,0,0,
Black Desert,2024-04-20 04:00:00+00:00,0,0,
Black Desert,2024-04-20 05:00:00+00:00,0,0,
Black Desert,2024-04-20 06:00:00+00:00,0,0,
Black Desert,2024-04-20 07:00:00+00:00,1,19,19.0
Black Desert,2024-04-20 08:00:00+00:00,1,185,185.0
Black Desert,2024-04-20 09:00:00+00:00,3,119,39.667
Black Desert,2024-04-20 10:00:00+00:00,3,463,154.333
Black Desert,2024-04-20 11:00:00+00:00,7,798,114.0
Black Desert,2024-04-20 12:00:00+00:00,1,49,49.0
Black Desert,2024-04-20 13:00:00+00:00,2,494,247.0
Black Desert,2024-04-20 14:00:00+00:00,7,417,59.571
Black Desert,2024-04-20 15:00:00+00:00,11,1195,108.636
Black Desert,2024-04-20 16:00:00+00:00,15,1262,84.133
Black Desert,2024-04-20 17:00:00+00:00,25,2005,80.2
Black Desert,2024-04-20 18:00:00+00:00,9,541,60.111
Black Desert,2024-04-20 19:00:00+00:00,5,272,54.4
Brawl Stars,2024-04-19 02:00:00+00:00,1,14,14.0
Brawl Stars,2024-04-19 03:00:00+00:00,0,0,
Brawl Stars,2024-04-19 04:00:00+00:00,0,0,
Brawl Stars,2024-04-19 05:00:00+00:00,0,0,
Brawl Stars,2024-04-19 06:00:00+00:00,0,0,
Brawl Stars,2024-04-19 07:00:00+00:00,0,0,
Brawl Stars,2024-04-19 08:00:00+00:00,0,0,
Brawl Stars,2024-04-19 09:00:00+00:00,0,0,
Brawl Stars,2024-04-19 10:00:00+00:00,0,0,
Brawl Stars,2024-04-19 11:00:00+00:00,0,0,
Brawl Stars,2024-04-19 12:00:00+00:00,0,0,
Brawl Stars,2024-04-19 13:00:00+00:00,0,0,
Brawl Stars,2024-04-19 14:00:00+00:00,0,0,
Brawl Stars,2024-04-19 15:00:00+00:00,0,0,
Brawl Stars,2024-04-19 16:00:00+00:00,0,0,
Brawl Stars,2024-04-19 17:00:00+00:00,0,0,
Brawl Stars,2024-04-19 18:00:00+00:00,1,11,11.0
Brawl Stars,2024-04-19 19:00:00+00:00,0,0,
Brawl Stars,2024-04-19 20:00:00+00:00,0,0,
Brawl Stars,2024-04-19 21:00:00+00:00,1,16,16.0
Brawl Stars,2024-04-19 22:00:00+00:00,0,0,
Brawl Stars,2024-04-19 23:00:00+00:00,0,0,
Brawl Stars,2024-04-20 00:00:00+00:00,0,0,
Brawl Stars,2024-04-20 01:00:00+00:00,0,0,
Brawl Stars,2024-04-20 02:00:00+00:00,0,0,
Brawl Stars,2024-04-20 03:00:00+00:00,0,0,
Brawl Stars,2024-04-20 04:00:00+00:00,0,0,
Brawl Stars,2024-04-20 05:00:00+00:00,0,0,
